CORRECT_SENTENCE,ERRONEOUS_SENTENCE
Aayyiya ohettaa eriyo gishshawu na'a ay keelaappe guppees,Aayyiya ohexxaa eriyo gihhssawu na'a ay keelaaffe guffaas
Abbaa be enay pultto alanttes,Abbaa be enay fulxxo alanxxes
Abbaama kaysoy aawa dereqqees,Abbaama kaysoy aawa dereqqaas
Abbaappe kiyiday xaazaa laaccees,Abbaaffe kiyiday xaazaa laaccaas
Accoy accuwa qanxxees,Accoy accuwa qanxxaas
Accoy bayina manqoynne gomee baynna gilqqay paxxenaan aggenna,Accoy bayina manqoynne gomee baynna gilqqay faxxenaam aggenna
Achchay mexi naa  a shin hegeetuppekka issuwan mixxillees,Accay mexi naa  o hsim hegeexuffekka isaaswam mixxillaas
Achchi baynna kuttiya banggaa muume mittawusu,Acci baynna kuxxiya banggaa muume mixxawuaas
Achchi baynnaara achchay diyoro saxxa bessawusu,Acci baynnaara accay diyoro saxxa bessawuaas
Achchi meqetta geettes,Acci meqexxa geexxes
Acoy baynnay tummo tal ess,Acoy baynnay xummo xal ess
Adde kuttuwa goday gaashsha biitta girees,Adde kuxxuwa goday gaahhssa biixxa giraas
addee hayqana haniiddi dumiya kiyees,addee hayqana haniiddi dumiya kiyaas
Adoy biddintta tawulee gees,Adoy biddinxxa xawulee gaas
Adussa danccoy azinan gattees,Adussa danccoy azinam gaxxaas
Adussa kushiya goday heezzantta qoommees,Adussa kuhsiya goday heezzanxxa qoommaas
Afaama samppa na'a iyo kambata gillaa na'a i ekkees,Apaama samffa na'a iyo kambaxa gillaa na'a i ikka as
Afali aawa ottees namisi na'a a oottees,Apali aawa oxxaas namisi na'a o ooxxaas
Agar deshshin ganttaara galataa ekkawusu,Agar dehhssim ganxxaara galaxaa ikka wuaas
Agga ixxay bangga ixxees,Agga ixxay bangga ixxaas
Agga ixxiday waeyess,Agga ixxiday waeyess
Agga worada geereera,Agga worada geereera
Aggin de'iyara olin de'iyaagaa gelawusu,Aggim de'iyara olim de'iyaagaa gelawuaas
Aginaa po uwanne hariya modhdhuwanne ta eraaysi gees godaree,Aginaa fo uwanne hariya modduwanne xa eraaysi gaas godaree
Aginaanne aawu machchonne ammanettenna,Aginaanne aawu macconne ammanexxenna
Aginan godaree yedetido kanay galassi kare kiyenna,Aginam godaree yedexido kanaw galassi kare kiyenna
Akeekenna geeressay zarishin metees,Akeekenna geeressay zaarihsim mexaas
Akeekidi xeellin kasttolliya ayiffe beettees,Akeekidi xeellim kasxxolliya ayiffe beexxaas
Akkeechchee waasuwa mariya siyuppu,Akkeeccee waaaaswa mariya siyuffu
Alay orddin A giddo bookki miya kuttoy boborccees,Alay orddim o giddo bookki miya kuxxoy boborccaas
Allagaa ayfiyan mereessay bunchchetta,Allagaa aypiyam meraasay bunccexxa
Allagaa dabbotay bambbare kuwa,Allagaa dabboxay bambbare kuwa
Allagaa zilaassay issuwa,Allagaa zilaassay isaaswa
Allagaakko simmada coomma dabbuwakko simmada mitta,Allagaakko simmada coomma dabbuwakko simmada mixxa
Alliqariya shittuwan kattawusu,Alliqariya hsixxuwam kaxxawuaas
Amaliya miizzya maattaadarawusu,Amaliya miizzya maaxxaadarawuaas
Amaneettenna laggiyara pinuwan pinuwan caaqqa,Amaneexxenna laggiyara finuwam finuwam caaqqa
Amanoy shimaynniya manqqettees,Amanoy hsimaynniya manqqexxaas
Ami  nenna machchiya attumaa yelawusu,Ami  nenna macciya axxumaa yelawuaas
Ammanido mashshay tiriyan meqqees,Ammanido mahhssay xiriyam meqqaas
Amoy dabo ankkay sobbo,Amoy dabo ankkay sobbo
Amoy hayqo kare gattees,Amoy hayqo kare gaxxaas
Amuqiya tonddiya yelawusu,Amuqiya xonddiya yelawuaas
Anddo baanawu genddo wodhdheettees,Anddo baanawu genddo woddeexxaas
Anhaynne imattaynne ayssosan aqees,Anhaynne imaxxaynne ayssosam aqaas
Ankka qanxxin lolloy qaxxees,Ankka qanxxim lolloy qaxxaas
Aqana namisay omarssi namisees,Aqana namisay omarssi namisaas
Aqana qumaa bambbaree wurssees,Aqana qumaa bambbaree wurssaas
Aqenna machchiyonne aqenna azinaa qaaday giyan gattees,Aqenna macciyonne aqenna azinaa qaaday giyam gaxxaas
Aqennasan xiskkoppa,Aqennasam xiskkoffa
Aqi kiyo giidobay aco gidees,Aqi kiyo giidobay aco gidaas
Aqin maana gin achchay kixxees,Aqim maana gim accay kixxaas
Aqqa gin ixxidday son aqqees,Aqqa gim ixxidday som aqqaas
Arbbababuwa ekkana godiya diishin ciraacuwa ekkiya garawiya dirbbawusu,Arbbababuwa ikka na'a godiya diihsim ciraacuwa ekkiya garawiya dirbbawuaas
Arbbappenne aymaloppenne gidduwan xoossi dees,Arbbaffenne aymaloffenne gidduwam xoossi daas
Arssa machchee goday dubbushaa biikke gees,Arssa maccee goday dubbuhsaa biikke gaas
Arssaappe wodhdhenna addee sooddon eqqees,Arssaaffe woddenna addee sooddom eqqaas
Arssiya kattin kareettiya gishawusu,Arssiya kaxxim kareexxiya gihsawuaas
Asa barssoy dares woy guuxxees,Asa barssoy dares woy guuxxaas
Asa biittan danggarssaa woridi taawaa hayttay gitta gees,Asa biixxam danggarssaa woridi xaawaa hayxxay gixxa gaas
Asa daafi baynnan kon  I bawu meqqenna,Asa daapi baynnam kom  I bawu meqqenna
Asa daafi baynnan kon  I me  enna,Asa daapi baynnam kom  I me  enna
Asa dereenne asaraynne aqishin kalloyees,Asa dereenne asaraynne aqihsim kalloyaas
Asa gosen ayfe parsso wottoppa,Asa gosem aype farsso woxxoffa
Asa guutta gaada karoppa,Asa guuxxa gaada karoffa
Asa machchiyo ekkiday hiittan hirggees,Asa macciyo ekkiday hiixxam hirggaas
Asa miizziyo shociyagaassi biittaa shocaa masatees,Asa miizziyo hsociyagaassi biixxaa hsocaa masaxaas
Asa na'a awu giidobay bari na'a awu gakkees,Asa na'a awu giidobay bari na'a awu gakkaas
Asa na'a I midi ifittan quccees,Asa na'a I midi ipixxam quccaas
Asa na'a I ubba gallassikka mizidooro odi erenna wadhdhidooro odes,Asa na'a I ubba gallassikka mizidooro odi erenna waddidooro odes
Asaa bazzuwan do ay miyo layttii son garaway seebbaa essees,Asaa bazzuwam do ay miyo layxxii som garaway seebbaa essaas
Asaa doonan tamay eexxees tama coociyan qumay ka  ees,Asaa doonam xamay eexxaas xama coociyam qumay ka  aas
Asaa giddon asay ashuwa giddon paashshay,Asaa giddom asay ahaaswa giddom faahhssay
Asaa qulliyawu kuttoy keettaa hokki gelees,Asaa qulliyawu kuxxoy keexxaa hokki gelaas
Asappe aadhdhidaaga ankkoy keettaappe aadhdhidaaga kafoy,Asaffe aaddidaaga ankkoy keexxaaffe aaddidaaga kapoy
Asaba ayssi may?,Asaba ayssi may?
Asabaa maana gay baagaappe attees,Asabaa maana gay baagaaffe axxaas
Asabaanne aafuwanne xeelliiddi aadhdheettees,Asabaanne aapuwanne xeelliiddi aaddeexxaas
Asabaappe asaran wodhdhay daro,Asabaaffe asaram wodday daro
Asana awuddashanawu muussuwara yereettes,Asana awuddahsanawu muusaaswara yereexxes
Asanaabaa odin yelonaa gakkees,Asanaabaa odim yelonaa gakkaas
Asappe asi lo  o ashoppe paashshi lo  o,Asaffe asi lo  o ahsoffe faahhssi lo  o
Asawu lo  iyagee bari huuphiyawu lo  ees,Asawu lo  iyagee bari huuphiyawu lo  aas
Asay dabbuwakko shiiqin togoogoy oshaakko shiiqees,Asay dabbuwakko hsiiqim xogoogoy ohsaakko hsiiqaas
Asay huuphiya daddin ecereiya hayttaa qachchawusu,Asay huuphiya daddim ecereiya hayxxaa qaccawuaas
Asaynne ashoynne aqiiddi shalqqees,Asaynne ahsoynne aqiiddi hsalqqaas
Ashkkaray ba godaa xuman dereqqees,Ahskkaray ba godaa xumam dereqqaas
Ashkkare axiraaroy bale wontteta,Ahskkare axiraaroy bale wonxxexa
Ashkke giishin zaree buuluwa wurssees,Ahskke giihsim zaree buuluwa wurssaas
Asho meenna shooshshay dukki worees,Ahso meenna hsoohhssay dukki woraas
Ashuwa kallin zo o miizzay iitees,Ahaaswa kallim zo o miizzay iixaas
Ashuwa payda gin lanxxiya istta geettees,Ahaaswa fayka gim lanxxiya isxxa geexxaas
Ashuwa qaaqqay santta loolliya diggees,Ahaaswa qaaqqay sanxxa loolliya diggaas
Asi asawu xale,Asi asawu xale
Asi danccissanaappe aawu marxxafo,Asi danccissanaaffe aawu marxxapo
Asi gooyiyode gooyennay barkka laappun laytta gooyees,Asi gooyiyode gooyennay barkka laaffum layxxa gooyaas
Asi miido mitteekko gakkidi bollawu xeellees,Asi miido mixxeekko gakkidi bollawu xeellaas
Asi ubbi lagge,Asi ubbi lagge
Asi uluwan cayiyo asi kessi cayees,Asi uluwam cayiyo asi kessi cayaas
Assaba maana giiddi babappe attees,Assaba maana giiddi babaffe axxaas
Asabba may amppotishin bariba may zin  ii aqees,Asabba may amffoxihsim bariba may zim  ii aqaas
Assaban meqqidi babani xalettetees,Assabam meqqidi babani xalexxexaas
Assuran konttiyan karchchikkay balggo mooqiyan karchchikkees,Asaasram konxxiyam karccikkay balggo mooqiyam karccikkaas
Attikko asa na'a a oyqettikko kayso na'a a,Axxikko asa na'a o oyqexxikko kayso na'a a
Attuma na'a i oduwawunne olawu yelettees,Axxuma na'a i oduwawunne olawu yelexxaas
Awaaqee parssoy guruuriyan ka ees,Awaaqee farssoy guruuriyam ka aas
Awan oottennagee aginan wuuqqana bees,Awam ooxxennagee aginam wuuqqana baas
Awan shoco kanay baddala muussan hayqqees,Awam hsoco kanaw baddala muussam hayqqaas
Away de ishin wooxxa aaway de ishshin xee a,Away de ihsim wooxxa aaway de ihhssim xee a
Awu woxxinka hayqoy attenna,Awu woxxinka hayqoy axxenna
Awudiyan moy assure gattees,Awudiyam moy asaasre gaxxaas
Axaaree xuuraa yootin guutti qanxxees,Axaaree xuuraa yooxim guuxxi qanxxaas
Axaariya natudan elettoppaa,Axaariya naxudam elexxoffaa
Axxiraaroy paraa maaxaana kesees,Axxiraaroy faraa maaxaana kesaas
Ayba xallanee giido xalee ayfiya toyssees,Ayba xallanee giido xalee aypiya xoyssaas
Aybakko maddenna uray keettaa aassa keexxa gees,Aybakko maddenna uray keexxaa aassa keexxa gaas
Aybee gay alaade accottees,Aybee gay alaade accoxxaas
Ayfee issuwa shin dereqan yashshees,Aypee isaaswa hsim dereqam yahhssaas
Ayfee xeelli kallidi saketees,Aypee xeelli kallidi sakexaas
Aykko baynna manqqoy botta eessaa wottaasi gees,Aykko baynna manqqoy boxxa aasaa woxxaasi gaas
Ayyaanay kehin maaxaanay worees,Ayyaanay kehim maaxaanay woraas
Azaallay sanbattan oottees,Azaallay sanbaxxam ooxxaas
Azalla azinay shahaara machchiyo ekkees,Azalla azinay hsahaara macciyo ikka as
Azallay sheeshsha uttosan shemppees,Azallay hseehhssa uxxosam hsemffaas
Azalliya sikkido zazzaree baaqqeelaa aattees,Azalliya sikkido zazzaree baaqqeelaa aaxxaas
Azikki giday dorssa acotees,Azikki giday dorssa acoxaas
Azinaa be abeykku shin hiixxa zeriyan yegawusu,Azinaa be abeykku hsim hiixxa zeriyam yegawuaas
Azinaanne giyaanne gelidi be eettees,Azinaanne giyaanne gelidi be eexxaas
Azinay ixxiyo machchiyo Hamuusa giyayi erees,Azinay ixxiyo macciyo Hamuusa giyayi eraas
Azinay ixxiyo machchiyo ifittay worees,Azinay ixxiyo macciyo ipixxay woraas
Azinay ixxiyo machchiyo shuchchay xubees,Azinay ixxiyo macciyo haasccay xubaas
Azinay machchiyo demennan galbbaa hiixxees,Azinay macciyo demennam galbbaa hiixxaas
Azinay siiqqiyo machchiyo mulalee cuullees,Azinay siiqqiyo macciyo mulalee cuullaas
Azini de ishin ashuwa meettees,Azini de ihsim ahaaswa meexxaas
Ba baaso bashshay asa baaso bashshees,Ba baaso bahhssay asa baaso bahhssaas
Ba bayraa bonchchennay asa bayraassi hadiya tookkees,Ba bayraa bonccennay asa bayraassi hadiya xookkaas
Ba godaa ammanida kaniya ba goynna Karen ayssawusu,Ba godaa ammanida kaniya ba goynna Karem ayssawuaas
Ba malaa shankkan worakanay hayqqees,Ba malaa hsankkam worakanay hayqqaas
Ba son ba wolqqa keeniyo haneettees,Ba som ba wolqqa keeniyo haneexxaas
Ba soo pittennaara ba bollotee soo ona gawusu,Ba soo fixxennaara ba bolloxee soo ona gawuaas
Baabba hambbalaachchoy dibila ayfe tosses,Baabba hambbalaaccoy dibila aype xosses
Baacciray shugo giishin cuullees,Baacciray haasgo giihsim cuullaas
Baagaa marggada basuwa qaaqqatawus,Baagaa marggada baaaswa qaaqqaxawus
Baagee baagaa baddee nuugaa,Baagee baagaa baddee nuugaa
Baagee yooti ekkanawu de o,Baagee yooxi ikka nawu de o
Baana danggarssay xaphuwappe min daana danggarssay xeeraappe mees,Baana danggarssay xaphuwaffe mim daana danggarssay xeeraaffe maas
Baana iray baanaa bukkees,Baana iray baanaa bukkaas
Baana machchiya aawa qohawusu,Baana macciya aawa qohawuaas
Baanay bidinttaa sophphe gees,Baanay bidinxxaa sophphe gaas
Baaraynne co  u coommaynne co  u,Baaraynne co  u coommaynne co  u
Baaro be enna geleshshiya ba  na'ee dullee tello gawusu,Baaro be enna gelehhssiya ba  na'ee dullee xello gawuaas
Baassa gin baaci uncca qanxxees,Baassa gim baaci uncca qanxxaas
Baassi gin baaci qanxxees asassi gin mashshi ixxees,Baassi gim baaci qanxxaas asassi gim mahhssi ixxaas
Gaattaappe xiirin xaaro kumees,Gaaxxaaffe xiirim xaaro kumaas
Baattay baynna san kuyxxaaroy bana baatta gees,Baaxxay baynna sam kuyxxaaroy bana baaxxa gaas
Baattay biittawu pirddees,Baaxxay biixxawu firddaas
Baawa gaanaappe gooyiya ishay keha,Baawa gaanaaffe gooyiya ihsay keha
Baawawu yeekkiyagaanne baban kaa iya uraa diggiyay baawa,Baawawu yeekkiyagaanne babam kaa iya uraa diggiyay baawa
Babaa bashshay asa baaso bashshees,Babaa bahhssay asa baaso bahhssaas
Babba hambbalaachchoy dibila ayfe tosses,Babba hambbalaaccoy dibila aype xosses
Babawu bambbalaqi asabawu phuluqu,Babawu bambbalaqi asabawu fhuluqu
Babbanttay bookkin gudunttay gelees,Babbanxxay bookkim gudunxxay gelaas
Gadalay ottan doles eceree achchaa boroshshees,Gadalay oxxam doles eceree accaa borohhssaas
Badalaynne magaraynne haakkidi keha,Badalaynne magaraynne haakkidi keha
badhdheesan manddaray zerettaappe attees,baddaasam manddaray zerexxaaffe axxaas
Balakkoy wodiya aattees,Balakkoy wodiya aaxxaas
Balay baynna mishiriya balakko yelawusu,Balay baynna mihsiriya balakko yelawuaas
Balggo shaachchiya kattaanne pudettaa kessiya wolqqaa aawu erees,Balggo hsaacciya kaxxaanne fudexxaa kessiya wolqqaa aawu eraas
Balggo tal  ana bone qanxxana,Balggo xal  ana bone qanxxana
Balggo tama ho  ay bone awaa ho  ees,Balggo xama ho  ay bone awaa ho  aas
Balgguwa shaachchida keettaa bone xuuggeettees,Balgguwa hsaaccida keexxaa bone xuuggeexxaas
Baluqiya ba xalalawu ba godaa qakkawusu,Baluqiya ba xalalawu ba godaa qakkawuaas
Baluqoy sugin curqqaaway malaatettees,Baluqoy aasgim curqqaaway malaaxexxaas
Bana be ennay ba godaa bores,Bana be ennay ba godaa bores
Bana gakkenna qefiya kafiya zaallaa mayzzawusu,Bana gakkenna qepiya kapiya zaallaa mayzzawuaas
Bana go  iyaro aawu erees,Bana go  iyaro aawu eraas
Bana sabbyay curqqa silkkiyay issuwa,Bana sabbyay curqqa silkkiyay isaaswa
Bana woriya xuufiya qulliittoppe tookkidi ehees,Bana woriya xuupiya qulliixxoffe xookkidi ehaas
Banan be ay piton koyees,Banam be ay fixom koyaas
Baqqa kushee balin baqetta shayay erees,Baqqa kuhsee balim baqexxa hsayay eraas
Baqqi shammoynne bannakki yeloy issuwa,Baqqi hsammoynne bannakki yeloy isaaswa
Baquliya wodoruwa duuttaasu gin bawu qanttaasu geettees,Baquliya wodoruwa duuxxaaaas gim bawu qanxxaaaas geexxaas
Baquliya yelenna na'a aa ba  awusu,Baquliya yelenna na'a aa ba  awuaas
Bari aawaa be ennay heezzanttan caaqqees,Bari aawaa be ennay heezzanxxam caaqqaas
Bari mare laachchaa gen  iya erawusu,Bari mare laaccaa gem  iya erawuaas
Bari son baariyobi baynnaagee asa son banqqaa karees,Bari som baariyobi baynnaagee asa som banqqaa karaas
Bariyyoo baawa gees kawoyyoo gin koyana gees,Bariyyoo baawa gaas kawoyyoo gim koyana gaas
Barkka woxxiyagee oona qolchchii?,Barkka woxxiyagee oona qolccii?
Barssuwa meezetidi maccaasiya baqawu efi hanggawusu,Barsaaswa meezexidi maccaasiya baqawu epi hanggawuaas
Bashiyawu baqatishin eceriya bawusu,Bahsiyawu baqaxihsim eceriya bawuaas
Battoy de ishin qaadoy mees,Baxxoy de ihsim qaadoy maas
Bawu aqiyosi baynna haattay mittaa tookki hemettees,Bawu aqiyosi baynna haaxxay mixxaa xookki hemexxaas
Bawu aynne baynnaagee ba godaa baluquwawu adduwa shammees,Bawu aynne baynnaagee ba godaa baluquwawu adduwa hsammaas
Bawu ballidi banggananttasoo bala geettees,Bawu ballidi banggananxxasoo bala geexxaas
Bawu bayiya bayki kariya naagiya kaaba ekkidi xayees,Bawu bayiya bayki kariya naagiya kaaba ekkidi xayaas
Bawu baynna kawo giyaa cayees,Bawu baynna kawo giyaa cayaas
Bawu baynnaara piniyara ganawusu,Bawu baynnaara finiyara ganawuaas
Bawu baynnay baawu gaachchaa gelees,Bawu baynnay baawu gaaccaa gelaas
Bawu bukkada bawu shokkada uyawusu,Bawu bukkada bawu hsokkada uyawuaas
Bawu kalliday ogiyan guppees,Bawu kalliday ogiyam guffaas
Bawu paxenna uray kanaa laappunaa haarees,Bawu faxenna uray kanaa laaffunaa haaraas
Bawu paxennay ba bollossi xale bookkees,Bawu faxennay ba bollossi xale bookkaas
Bawu phiniyara ganawusu,Bawu fhiniyara ganawuaas
Bawu qaxxarettenna bitanee asa qaxxaran durees,Bawu qaxxarexxenna bixanee asa qaxxaram duraas
Bawu  ii bawu ida tamay seefaara mees,Bawu  ii bawu ida xamay seepaara maas
Bawutaa miyo hashen oto kumettaay keha,Bawuxaa miyo hahsem oxo kumexxaay keha
Bayana giida miishshay baattaappe xayees,Bayana giida miihhssay baaxxaaffe xayaas
Bayana giida miishshay danccuwappe xayees,Bayana giida miihhssay danccuwaffe xayaas
Bayida paray de ishin koyida paray daafurees,Bayida faray de ihsim koyida faray daapuraas
Bayrawu sa ay lo  iin kaaloy zuummennan hemettees,Bayrawu sa ay lo  iim kaaloy zuummennam hemexxaas
Bayzuwa siiqoy aayyiyo zaasissees,Bayzuwa siiqoy aayyiyo zaasissaas
Bayzziyagee waaha gin shammiyagee caammo caammo gees,Bayzziyagee waaha gim hsammiyagee caammo caammo gaas
Be iday erees cimmiday erenna,Be iday eraas cimmiday erenna
Be idi erennay yaarambba,Be idi erennay yaarambba
Beenna betee asa worees,Beenna bexee asa woraas
Beezunttaappe namisay keha,Beezunxxaaffe namisay keha
Beni kawuwa ayfiya woocishin ta siphphinttaa mooroppa gees,Beni kawuwa aypiya woocihsim xa siphphinxxaa mooroffa gaas
Betee ottan keexxees,Bexee oxxam keexxaas
Betidi yiyaay wozana,Bexidi yiyaay wozana
Betiyawu belle baawa,Bexiyawu belle baawa
Bexxe miita qanxxiidi pee in qaratto giidi godan kaqetes,Bexxe miixa qanxxiidi fee im qaraxxo giidi godam kaqexes
Bidinttay xiilliya bores,Bidinxxay xiilliya bores
Biibbisoy xale uyin Oogatoy gusanawu woxxees,Biibbisoy xale uyim Oogaxoy gusanawu woxxaas
Biida machchiya bayida ka na'ehawusu,Biida macciya bayida ka na'ehawuaas
Biidi yiyay wozana,Biidi yiyay wozana
Biiribiiriya kuttiya bikki ekkawusu,Biiribiiriya kuxxiya bikki ikka wuaas
Biitti bitidoy aappunee urqqi mittidoy laappunee,Biixxi bixidoy aaffunee urqqi mixxidoy laaffunee
Biixibixiya kaniya bikki ekkawusu,Biixibixiya kaniya bikki ikka wuaas
Bilahe barkka baanaara gallassi tana yashshees gawusu,Bilahe barkka baanaara gallassi xana yahhssaas gawuaas
Biri baynna kafoy biri baynna mittan uttees,Biri baynna kapoy biri baynna mixxam uxxaas
Biron bitiyaara birassa worawusu,Birom bixiyaara birassa worawuaas
Biron giya geliya kanay gedaa dafees,Birom giya geliya kanaw gedaa dapaas
Birshsha ma gin lukki mees,Birhhssa ma gim lukki maas
Bittanchay hekka xuman durees,Bixxanchay hekka xumam duraas
"Bittay billissettees, durssay dinnaaqettees","Bixxay billissexxaas, durssay dinnaaqexxaas"
Bo  an wodhdhida siiriya gakkanawu woysa wodiya takkii,Bo  am woddida siiriya gakkanawu woysa wodiya xakkii
Boddite giyayi bogettanawu eqqidi sugettees,Boddixe giyayi bogexxanawu eqqidi aasgexxaas
Bollaa gullottiday garssaa kallottees,Bollaa gulloxxiday garssaa kalloxxaas
Bollaara booxxiday garssaara mazunxxees,Bollaara booxxiday garssaara mazunxxaas
Bollay ekkin borttuwan diishettees,Bollay ekkim borxxuwam diihsexxaas
Bollotentta hayqoy tuma gin afalaay gidi erenneeshsha,Bolloxenxxa hayqoy xuma gim apalaay gidi erenneehhssa
Bollotiyo na'a a machchiya xiinawusu,Bolloxiyo na'a o macciya xiinawuaas
Bolloto bonchchiyay lasooro bonchchada polennaara muttaaro,Bolloxo boncciyay lasooro bonccada folennaara muxxaaro
Bolloyinne borkkotay wontaara kehaa,Bolloyinne borkkoxay wonxaara kehaa
Bolluwa yashshawu shuguwa coommeettees,Bolluwa yahhssawu haasguwa coommeexxaas
Bolluwa yeellawu booraa shukki meettees,Bolluwa yeellawu booraa haaskki meexxaas
Bolooson bookkana biya kaysoy Bodditten saro gees,Boloosom bookkana biya kaysoy Boddixxem saro gaas
Bonchchidi bonchchetteettees,Bonccidi bonccexxeexxaas
Bonchchiyagaa bonccuwan heemmeettees,Boncciyagaa bonccuwam heemmeexxaas
Bonchchoynne boosoy sooppe kiyees,Bonccoynne boosoy sooffe kiyaas
Bone buukki boori yelii?,Bone buukki boori yelii?
Boniyaga carkkoy balgguwagaa di oy efees,Boniyaga carkkoy balgguwagaa di oy epaas
Boocuwa huphphee oyssa wottin suxxees,Boocuwa huphphee oyssa woxxim aasxxaas
Boocuwa huphphiya yekkishin meedettees,Boocuwa huphphiya yekkihsim meedexxaas
Boolee ba seelawu bashiya saxxees,Boolee ba seelawu bahsiya saxxaas
Boolimiya bollotiyo qaxxarawusu,Boolimiya bolloxiyo qaxxarawuaas
Bolloy qooxxin bolltiya yeletawusu,Bolloy qooxxim bollxiya yelexawuaas
Booqee hachchiira danqqo qoro gidukku goora a,Booqee hacciira danqqo qoro gidukku goora a
Booqi sheeshshan boroqoy xayikko xilqqee xayenna,Booqi hseehhssam boroqoy xayikko xilqqee xayenna
Boora keessena gadde e boora worees,Boora kaasena gadde e boora woraas
Boora qakkay bawu kunddees,Boora qakkay bawu kunddaas
